gene,methylation_expr_corr,scaling_factor,modulation_type
ADAMTS16,-0.009274877,0.9907251,suppression
ADAMTS17,0.0035034772,1.0035034,enhancement
ADAMTS18,-0.048052657,0.95194733,suppression
ADAMTS19,-0.07017694,0.92982304,suppression
ADAMTS20,0.017991781,1.0179918,enhancement
ADAMTS3,0.0058695027,1.0058695,enhancement
ADAMTS5,-0.13382979,0.8661702,suppression
ADAMTSL3,-0.07793814,0.92206186,suppression
ADAMTSL5,-0.08468258,0.9153174,suppression
ADAP1,-0.0012275834,0.99877244,suppression
ADARB1,0.0087780375,1.0087781,enhancement
ADAT1,-0.019811599,0.9801884,suppression
ADAT2,-0.01816854,0.98183143,suppression
ADAT3,0.06246166,1.0624616,enhancement
ADCK1,-0.012123691,0.9878763,suppression
ADCK2,0.015437942,1.015438,enhancement
ADCK5,0.08949264,1.0894927,enhancement
ADCY1,-0.36218703,0.637813,suppression
ADCY10P1,0.023737311,1.0237373,enhancement
ADCY2,-0.012433076,0.98756695,suppression
ADCY3,-0.44356063,0.5564394,suppression
ADCY5,-0.246378,0.753622,suppression
ADCY6,-0.028714335,0.97128564,suppression
ADCY9,0.060932968,1.060933,enhancement
ADCYAP1R1,0.0147656975,1.0147657,enhancement
ADD1,0.08677406,1.0867741,enhancement
ADD2,-0.0291738,0.9708262,suppression
ADGRA1,0.062169433,1.0621694,enhancement
ADGRA2,-0.042023603,0.9579764,suppression
ADGRA3,0.0052671093,1.0052671,enhancement
ADGRB2,-0.0012717452,0.9987283,suppression
ADGRG2,-0.1494783,0.8505217,suppression
ADGRG6,-0.32895854,0.6710415,suppression
ADGRL1,0.051582485,1.0515825,enhancement
ADGRV1,-0.23461777,0.76538223,suppression
ADIPOR1,0.016442122,1.0164422,enhancement
ADIPOR2,0.0045543853,1.0045544,enhancement
ADIRF,-0.14051223,0.8594878,suppression
ADM2,-0.10509696,0.89490306,suppression
ADNP,-0.018017292,0.9819827,suppression
ADORA2A,0.045934223,1.0459342,enhancement
ADORA2B,-0.16115303,0.838847,suppression
ADPGK,0.08798473,1.0879847,enhancement
ADPRHL2,0.006598551,1.0065986,enhancement
ADPRM,-0.035356224,0.9646438,suppression
ADRA1A,0.014590423,1.0145904,enhancement
ADRA1B,-0.1445495,0.8554505,suppression
ADRA1D,0.06567158,1.0656716,enhancement
ADRA2A,-0.02244534,0.9775547,suppression
ADRA2B,0.016228627,1.0162287,enhancement
ADRA2C,-0.03970496,0.960295,suppression
ADRB1,-0.05313467,0.9468653,suppression
ADRM1,-0.0027839153,0.9972161,suppression
ADSL,0.022723654,1.0227237,enhancement
AEN,-0.013531208,0.9864688,suppression
AFAP1,-0.0111150835,0.9888849,suppression
AFAP1L2,-0.016299969,0.98370004,suppression
AFF1,0.040173687,1.0401736,enhancement
AFF3,-0.5439056,0.45609438,suppression
AFF4,-0.06148953,0.9385105,suppression
AFG3L1P,-0.019772831,0.9802272,suppression
AFMID,-0.0701447,0.9298553,suppression
AGAP11,-0.050504796,0.9494952,suppression
AGAP3,0.02951044,1.0295105,enhancement
AGBL2,0.010138149,1.0101382,enhancement
AGBL4,-0.075508125,0.9244919,suppression
AGFG1,0.027293842,1.0272938,enhancement
AGFG2,-0.06234963,0.9376504,suppression
AGK,-0.024284437,0.9757156,suppression
AGL,0.004800817,1.0048008,enhancement
AGO1,0.030590702,1.0305907,enhancement
AGO2,0.11897853,1.1189785,enhancement
AGO3,-0.016255083,0.9837449,suppression
AGO4,-0.019899936,0.98010004,suppression
AGPAT1,0.03331376,1.0333138,enhancement
AGPAT2,0.012063269,1.0120633,enhancement
AGPAT3,0.03216733,1.0321673,enhancement
AGPAT5,0.03532606,1.035326,enhancement
AGPS,-0.2725992,0.7274008,suppression
AGRN,0.053935856,1.0539359,enhancement
AGTPBP1,-0.04417178,0.9558282,suppression
AGTR1,-0.2360151,0.7639849,suppression
AHCTF1,0.05090897,1.0509089,enhancement
AHCY,0.04978532,1.0497854,enhancement
AHCYL1,-0.02907766,0.97092235,suppression
AHCYL2,0.06758847,1.0675884,enhancement
AHI1,0.0730929,1.0730929,enhancement
AHNAK,-0.26966327,0.7303367,suppression
AHNAK2,-0.11820068,0.88179934,suppression
AHR,0.075906865,1.0759069,enhancement
AIDA,-0.010305634,0.98969436,suppression
AIF1L,0.0056764144,1.0056764,enhancement
AIFM1,-0.1730542,0.8269458,suppression
AIFM2,-0.0823849,0.9176151,suppression
AIG1,0.0033828688,1.0033829,enhancement
AIMP2,-0.074419,0.925581,suppression
AIP,-0.004642437,0.9953576,suppression
AIPL1,-0.054129526,0.94587046,suppression
AIRE,0.027134582,1.0271345,enhancement
AJAP1,-0.101531975,0.898468,suppression
AJUBA,-0.018360011,0.98164,suppression
AK3,-0.14425007,0.85574996,suppression
AK4,-0.054172333,0.94582766,suppression
AK5,-0.0557244,0.9442756,suppression
AK7,-0.00967577,0.99032426,suppression
AK8,-0.1297537,0.8702463,suppression
AK9,0.006409097,1.006409,enhancement
AKAP10,0.07024053,1.0702405,enhancement
AKAP3,-0.013827477,0.9861725,suppression
AKAP5,0.03748868,1.0374887,enhancement
AKAP8L,0.0030694162,1.0030694,enhancement
AKAP9,-0.0010125595,0.99898744,suppression
AKIP1,-0.026442787,0.97355723,suppression
AKIRIN2,-0.018615369,0.98138463,suppression
AKR1A1,-0.04367616,0.95632386,suppression
AKR1E2,-0.3248538,0.6751462,suppression
AKR7A2,0.0029261243,1.0029261,enhancement
AKR7A3,-0.1322043,0.8677957,suppression
AKR7L,0.3512071,1.3512071,enhancement
AKT1,0.0064789033,1.0064789,enhancement
AKT1S1,0.040959876,1.0409598,enhancement
AKT2,-0.009000657,0.99099934,suppression
ALAD,-0.009468525,0.9905315,suppression
ALAS1,-0.0127975345,0.98720247,suppression
ALDH16A1,-0.017913472,0.98208654,suppression
ALDH18A1,-0.005879521,0.9941205,suppression
ALDH1L2,-0.0049843104,0.9950157,suppression
ALDH2,-0.22899073,0.77100927,suppression
ALDH3A1,0.0012947138,1.0012947,enhancement
ALDH3A2,-0.014688059,0.9853119,suppression
ALDH5A1,-0.065206915,0.9347931,suppression
ALDOA,0.021604452,1.0216044,enhancement
ALDOC,-0.617593,0.382407,suppression
ALG11,-0.022225374,0.9777746,suppression
ALG12,0.066907845,1.0669079,enhancement
ALG13,-0.06726694,0.93273306,suppression
ALG14,-0.0390061,0.9609939,suppression
ALG2,-0.009466476,0.99053353,suppression
ALG8,-0.007019198,0.9929808,suppression
ALKBH1,0.02008508,1.0200851,enhancement
ALKBH2,0.0135702845,1.0135703,enhancement
ALKBH3,-0.3615562,0.6384438,suppression
ALKBH4,0.017340159,1.0173402,enhancement
ALKBH5,0.035011828,1.0350118,enhancement
ALKBH7,0.053979434,1.0539794,enhancement
ALKBH8,0.050118092,1.0501181,enhancement
ALLC,-0.01895479,0.9810452,suppression
ALOX12P2,0.33159855,1.3315985,enhancement
ALOXE3,0.04084189,1.0408419,enhancement
ALPK3,-0.06782876,0.9321712,suppression
ALPL,-0.17933218,0.8206678,suppression
ALS2CL,-0.06390966,0.93609035,suppression
ALX3,0.028440518,1.0284405,enhancement
ALX4,-0.04781922,0.9521808,suppression
ALYREF,-0.03433655,0.96566343,suppression
AMACR,-0.026871162,0.97312886,suppression
AMBRA1,-0.0175195,0.9824805,suppression
AMD1,-0.063978374,0.9360216,suppression
AMDHD1,-0.0040980075,0.995902,suppression
AMER3,-0.035206728,0.96479326,suppression
AMFR,0.03536448,1.0353645,enhancement
AMIGO1,-0.07288567,0.9271143,suppression
AMIGO2,-0.06533922,0.9346608,suppression
AMIGO3,0.050899178,1.0508991,enhancement
AMMECR1,-0.05614022,0.94385976,suppression
AMMECR1L,-0.032625154,0.96737486,suppression
AMOT,0.02969115,1.0296911,enhancement
AMOTL1,-0.028393408,0.9716066,suppression
AMOTL2,-0.07104497,0.928955,suppression
AMPD2,-0.033847176,0.96615285,suppression
AMZ1,-0.072260305,0.9277397,suppression
AMZ2,0.04294192,1.0429419,enhancement
AMZ2P1,-0.028314374,0.97168565,suppression
ANAPC1,0.019359522,1.0193595,enhancement
ANAPC10,-0.032924805,0.96707517,suppression
ANAPC11,-0.015269883,0.9847301,suppression
ANAPC13,-0.036398582,0.9636014,suppression
ANAPC15,0.026297811,1.0262978,enhancement
ANAPC2,0.14265186,1.1426518,enhancement
ANAPC4,0.07561366,1.0756136,enhancement
ANAPC5,0.051292002,1.051292,enhancement
ANG,0.021227293,1.0212272,enhancement
ANGEL2,0.10951153,1.1095115,enhancement
ANGPTL4,-0.2090875,0.7909125,suppression
ANHX,0.084165804,1.0841658,enhancement
ANKFY1,0.11337571,1.1133757,enhancement
ANKH,0.013750783,1.0137508,enhancement
ANKHD1,0.052789826,1.0527898,enhancement
ANKHD1-EIF4EBP3,0.089294195,1.0892942,enhancement
ANKLE2,-0.016101375,0.98389864,suppression
ANKMY1,-0.12588371,0.8741163,suppression
ANKMY2,-0.07073851,0.9292615,suppression
ANKRA2,0.047754418,1.0477544,enhancement
ANKRD10,0.05023264,1.0502326,enhancement
ANKRD11,0.055324547,1.0553246,enhancement
ANKRD12,0.04260164,1.0426016,enhancement
ANKRD13A,-0.012398672,0.98760134,suppression
ANKRD13B,0.0032706682,1.0032706,enhancement
ANKRD13C,-0.04525174,0.9547483,suppression
ANKRD13D,0.031424146,1.0314242,enhancement
ANKRD16,0.045498624,1.0454986,enhancement
ANKRD18DP,-0.034495078,0.96550494,suppression
ANKRD19P,0.015600105,1.0156001,enhancement
ANKRD2,-0.006047797,0.9939522,suppression
ANKRD24,-0.11372549,0.8862745,suppression
ANKRD26P1,-0.035644546,0.96435547,suppression
ANKRD30A,0.27888668,1.2788867,enhancement
ANKRD30B,-0.23960087,0.7603991,suppression
ANKRD30BL,-0.04386934,0.9561307,suppression
ANKRD31,0.041979205,1.0419792,enhancement
ANKRD33,0.035730153,1.0357301,enhancement
ANKRD34C,0.017598024,1.017598,enhancement
ANKRD35,0.018471722,1.0184717,enhancement
ANKRD36BP2,0.011408554,1.0114086,enhancement
ANKRD37,-0.002545643,0.99745435,suppression
ANKRD39,-0.013893184,0.9861068,suppression
ANKRD42,0.011556317,1.0115563,enhancement
ANKRD44,0.07079269,1.0707927,enhancement
ANKRD46,-0.031461466,0.9685385,suppression
ANKRD54,-0.034532737,0.9654673,suppression
ANKRD6,0.007858689,1.0078586,enhancement
ANKS1B,0.015546783,1.0155468,enhancement
ANKS6,-0.13502155,0.86497843,suppression
ANKZF1,0.046897646,1.0468976,enhancement
ANLN,-0.15639646,0.84360355,suppression
ANO10,0.00015438185,1.0001544,enhancement
ANO5,-0.02521943,0.97478056,suppression
ANO8,-0.1328717,0.8671283,suppression
ANO9,-0.16456811,0.8354319,suppression
ANP32B,0.024527477,1.0245274,enhancement
ANP32E,0.012273556,1.0122736,enhancement
ANPEP,-0.42510933,0.5748907,suppression
ANTXR1,-0.08937981,0.9106202,suppression
ANXA11,0.08324311,1.0832431,enhancement
ANXA2,-0.07104422,0.9289558,suppression
ANXA2R,-0.4669796,0.5330204,suppression
ANXA5,-0.11529211,0.88470787,suppression
ANXA6,-0.02795829,0.9720417,suppression
ANXA7,0.01735996,1.01736,enhancement
AOX1,-0.023880567,0.97611946,suppression
AP1G2,0.038055193,1.0380552,enhancement
AP1M2,-0.15567712,0.84432286,suppression
AP1S1,-0.08266382,0.91733617,suppression
AP2A2,0.005261532,1.0052615,enhancement
AP2B1,0.031081988,1.031082,enhancement
AP2S1,-0.12063011,0.8793699,suppression
AP3B1,0.030055186,1.0300552,enhancement
AP3M1,0.0018861291,1.0018861,enhancement
AP3M2,0.15043642,1.1504364,enhancement
AP3S1,-0.060300365,0.93969965,suppression
AP4E1,0.0052183056,1.0052183,enhancement
AP4M1,0.036465716,1.0364658,enhancement
AP4S1,0.05993362,1.0599337,enhancement
AP5B1,0.03839383,1.0383939,enhancement
AP5S1,-0.0069586337,0.9930414,suppression
AP5Z1,0.051938977,1.051939,enhancement
APAF1,-0.0063917735,0.99360824,suppression
APBA1,0.012112328,1.0121124,enhancement
APBB1,-0.014775194,0.9852248,suppression
APBB2,-0.18566978,0.8143302,suppression
APC,-0.03740419,0.9625958,suppression
APCDD1,-0.2781978,0.72180223,suppression
APEH,0.055887017,1.055887,enhancement
APEX1,-0.03431409,0.9656859,suppression
APH1B,0.0068040453,1.006804,enhancement
APIP,-0.026243955,0.9737561,suppression
APLF,0.0641583,1.0641583,enhancement
APLN,-0.054631874,0.9453681,suppression
APLP2,0.0075584482,1.0075585,enhancement
APMAP,0.002345799,1.0023458,enhancement
APOA1,0.05097335,1.0509733,enhancement
APOB,-0.016243894,0.9837561,suppression
APOBEC3D,-0.00047639993,0.9995236,suppression
APOBEC3F,-0.10662571,0.89337426,suppression
APOBEC3G,-0.1763341,0.8236659,suppression
APOBR,-0.41591224,0.5840877,suppression
APOL2,0.06602273,1.0660228,enhancement
APOLD1,0.018220562,1.0182205,enhancement
APOM,-0.0030470262,0.99695295,suppression
APOOL,-0.096954055,0.90304595,suppression
APP,-0.06570736,0.9342926,suppression
APPBP2,0.005658789,1.0056587,enhancement
APRT,-0.03217317,0.96782684,suppression
AQP1,-0.21558982,0.7844102,suppression
AQP11,0.012236853,1.0122368,enhancement
AQP2,0.04331626,1.0433162,enhancement
AQP3,-0.099234365,0.90076566,suppression
AQP5,-0.19124593,0.8087541,suppression
AQR,0.017625514,1.0176256,enhancement
AR,0.0124076,1.0124075,enhancement
ARAF,-0.029705176,0.97029483,suppression
ARAP1,0.045256626,1.0452566,enhancement
ARAP2,-0.031411245,0.96858877,suppression
ARC,-0.08991087,0.91008914,suppression
ARCN1,-0.06497412,0.9350259,suppression
ARF4,-0.089226484,0.9107735,suppression
ARF5,-0.0108382385,0.9891618,suppression
ARFGAP1,0.051335737,1.0513357,enhancement
ARFGAP2,0.086484864,1.0864849,enhancement
ARFGAP3,-0.10132638,0.8986736,suppression
ARFGEF1,0.03717112,1.0371711,enhancement
ARFIP1,-0.08098221,0.9190178,suppression
ARFRP1,-0.0010644876,0.9989355,suppression
ARGFXP2,-0.040503252,0.95949674,suppression
ARGLU1,0.07398323,1.0739832,enhancement
ARHGAP10,-0.14190435,0.85809565,suppression
ARHGAP11B,0.05610396,1.056104,enhancement
ARHGAP20,-0.090632424,0.90936756,suppression
ARHGAP21,0.008446264,1.0084462,enhancement
ARHGAP22,0.017622551,1.0176226,enhancement
ARHGAP23,-0.03702589,0.96297413,suppression
ARHGAP26,-0.06454481,0.9354552,suppression
ARHGAP33,0.055533454,1.0555334,enhancement
ARHGAP4,-0.34640548,0.6535945,suppression
ARHGAP42,-0.05901295,0.94098705,suppression
ARHGAP5,0.01219646,1.0121964,enhancement
ARHGAP6,0.06985344,1.0698534,enhancement
ARHGAP8,-0.049490992,0.950509,suppression
ARHGEF1,0.11699666,1.1169966,enhancement
ARHGEF10,0.022554835,1.0225549,enhancement
ARHGEF10L,-0.10654642,0.8934536,suppression
ARHGEF11,0.037934594,1.0379345,enhancement
ARHGEF12,0.021154355,1.0211544,enhancement
ARHGEF16,-0.13963519,0.8603648,suppression
ARHGEF17,0.04792133,1.0479213,enhancement
ARHGEF2,0.051309474,1.0513095,enhancement
ARHGEF25,-0.026276555,0.9737235,suppression
ARHGEF28,-0.06798313,0.93201685,suppression
ARHGEF3,-0.017132418,0.9828676,suppression
ARHGEF40,0.03316702,1.033167,enhancement
ARHGEF7,0.070266716,1.0702667,enhancement
ARID1A,-0.026031595,0.9739684,suppression
ARID1B,0.030746965,1.0307469,enhancement
ARID2,-0.032897577,0.9671024,suppression
ARID3A,0.07992731,1.0799273,enhancement
ARID3B,0.047261577,1.0472616,enhancement
ARID4A,0.06471208,1.064712,enhancement
ARID4B,0.07999724,1.0799973,enhancement
ARID5A,-0.16914327,0.83085674,suppression
ARIH1,-0.12395736,0.87604266,suppression
ARIH2,0.07139107,1.0713911,enhancement
ARL1,-0.010219385,0.9897806,suppression
ARL10,-0.0867899,0.9132101,suppression
ARL14EP,0.043499056,1.0434991,enhancement
ARL16,0.057472106,1.0574721,enhancement
ARL2,-0.0050993604,0.99490064,suppression
ARL3,0.027652029,1.027652,enhancement
ARL4A,-0.030895157,0.9691048,suppression
ARL4C,-0.29043669,0.7095633,suppression
ARL5B,-0.01436866,0.98563135,suppression
ARL6IP1,0.020300375,1.0203004,enhancement
ARL8A,-0.017798558,0.98220146,suppression
ARL9,-0.38378185,0.61621815,suppression
ARMC10,-0.0071717603,0.99282825,suppression
ARMC2,0.038325224,1.0383252,enhancement
ARMC4,-0.13209386,0.86790615,suppression
ARMC5,0.042027123,1.0420271,enhancement
ARMC6,0.020189712,1.0201898,enhancement
ARMC8,-0.13610396,0.863896,suppression
ARMC9,-0.0049455725,0.9950544,suppression
ARMCX1,-0.027081203,0.9729188,suppression
ARMCX3,0.0125048235,1.0125048,enhancement
ARMT1,-0.0023337738,0.99766624,suppression
ARNT,-0.09352806,0.90647197,suppression
ARNT2,-0.16033746,0.83966255,suppression
ARPC1A,0.06197601,1.061976,enhancement
ARPC1B,-0.14889814,0.8511019,suppression
ARPC2,-0.107094906,0.8929051,suppression
ARPC3,0.03728746,1.0372875,enhancement
ARPC4,-0.05403065,0.94596934,suppression
ARPC5L,-0.022637473,0.9773625,suppression
ARRB1,0.004753096,1.0047531,enhancement
ARRDC2,0.07273599,1.072736,enhancement
ARRDC3,-0.11742992,0.8825701,suppression
ARSD,-0.12758608,0.87241393,suppression
ARSG,0.044055004,1.044055,enhancement
ARSJ,-0.07915761,0.9208424,suppression
ART5,-0.07678506,0.9232149,suppression
ARV1,0.016676167,1.0166762,enhancement
ARVCF,0.054546166,1.0545461,enhancement
ARX,0.14166288,1.1416628,enhancement
ASAH1,-0.026534121,0.97346586,suppression
ASAH2B,-0.033501986,0.966498,suppression
ASAP1,-0.06272598,0.93727404,suppression
ASAP2,-0.058791425,0.9412086,suppression
ASAP3,0.029207194,1.0292072,enhancement
ASB1,0.105768666,1.1057687,enhancement
ASB10,0.005064955,1.005065,enhancement
ASB13,-0.03259091,0.9674091,suppression
ASB16,-0.003317688,0.9966823,suppression
ASB2,-0.033166178,0.96683383,suppression
ASB6,0.017255431,1.0172554,enhancement
ASCC1,-0.21957994,0.78042006,suppression
ASCC3,-0.01331522,0.9866848,suppression
ASCL1,-0.09407207,0.9059279,suppression
ASCL2,-0.30884904,0.69115096,suppression
ASF1A,-0.006178438,0.99382156,suppression
ASF1B,0.05204354,1.0520436,enhancement
ASH2L,0.09000026,1.0900003,enhancement
ASIC1,-0.011981729,0.9880183,suppression
ASIC2,-0.28304458,0.7169554,suppression
ASL,0.013707628,1.0137076,enhancement
ASNS,0.016260356,1.0162604,enhancement
ASNSD1,-0.011205321,0.9887947,suppression
ASPM,-0.035451267,0.9645487,suppression
ASS1,0.0003695163,1.0003695,enhancement
ASTE1,-0.0088266255,0.9911734,suppression
ASTN2,-0.0021649913,0.997835,suppression
ASXL1,0.074231155,1.0742311,enhancement
ASXL2,0.12567931,1.1256793,enhancement
ASXL3,0.03467018,1.0346702,enhancement
ASZ1,-0.03625399,0.963746,suppression
ATAD1,-0.05425416,0.9457458,suppression
ATAD2,-0.02536195,0.97463804,suppression
ATAD3A,0.031089678,1.0310897,enhancement
ATAD3B,0.058965944,1.0589659,enhancement
ATAD5,0.06643182,1.0664318,enhancement
ATE1,-0.009346301,0.9906537,suppression
ATF2,-0.020957211,0.97904277,suppression
ATF3,-0.08895109,0.9110489,suppression
ATF4,-0.01639664,0.98360336,suppression
ATF5,-0.13413255,0.86586744,suppression
ATF6B,0.022756629,1.0227566,enhancement
ATF7,0.015234294,1.0152344,enhancement
ATF7IP2,-0.6508455,0.34915447,suppression
ATG10,0.10702959,1.1070296,enhancement
ATG12,0.11905025,1.1190503,enhancement
ATG16L2,0.05039153,1.0503916,enhancement
ATG2A,0.02129548,1.0212954,enhancement
ATG2B,-0.036092065,0.96390796,suppression
ATG4A,-0.052942194,0.9470578,suppression
ATG4B,-0.06686219,0.93313783,suppression
ATG4C,-0.14220282,0.85779715,suppression
ATG4D,0.02696844,1.0269685,enhancement
ATG9A,0.051674355,1.0516744,enhancement
ATL1,0.021187086,1.0211871,enhancement
ATL2,-0.023297353,0.97670263,suppression
ATOH1,-0.0076653943,0.9923346,suppression
ATOX1,0.0016948726,1.0016949,enhancement
ATP10A,0.027386624,1.0273867,enhancement
ATP10D,-0.06303014,0.9369699,suppression
ATP11A,-0.008688355,0.99131167,suppression
ATP12A,-0.005308647,0.9946914,suppression
ATP13A1,0.13186115,1.1318612,enhancement
ATP13A2,-0.08970851,0.9102915,suppression
ATP1A1,0.001665316,1.0016654,enhancement
ATP1A3,0.027354943,1.027355,enhancement
ATP1B1,0.03157433,1.0315744,enhancement
ATP2A1,-0.0074783294,0.99252164,suppression
ATP2A3,-0.110901386,0.88909864,suppression
ATP2B3,-0.020734867,0.97926515,suppression
ATP2C1,-0.023579676,0.97642034,suppression
ATP2C2,-0.100303985,0.899696,suppression
ATP4B,0.008623082,1.0086231,enhancement
ATP5E,-0.050958607,0.94904137,suppression
ATP5I,0.055467498,1.0554675,enhancement
ATP6AP2,0.025907736,1.0259078,enhancement
ATP6V0B,-0.011732272,0.9882677,suppression
ATP6V0D1,-0.031327132,0.9686729,suppression
ATP6V0E1,-0.08427976,0.9157202,suppression
ATP6V0E2,-0.039789863,0.96021014,suppression
ATP6V1B1,0.010678137,1.0106782,enhancement
ATP6V1C1,0.12186067,1.1218606,enhancement
ATP6V1D,0.014344422,1.0143445,enhancement
ATP6V1E1,0.009875612,1.0098757,enhancement
ATP6V1H,0.064521685,1.0645217,enhancement
ATP7A,-0.02993164,0.97006834,suppression
ATP7B,0.059303064,1.059303,enhancement
ATP8A1,-0.0608819,0.9391181,suppression
ATP8B1,-0.05390194,0.9460981,suppression
ATP8B3,0.007858627,1.0078586,enhancement
ATP9A,-0.086658895,0.9133411,suppression
ATP9B,0.09632071,1.0963207,enhancement
ATPAF1,-0.030744309,0.9692557,suppression
ATPAF2,0.03071421,1.0307142,enhancement
ATRAID,-0.029604508,0.9703955,suppression
ATRIP,0.053799007,1.053799,enhancement
ATRN,-0.07932014,0.92067987,suppression
ATRNL1,0.031580582,1.0315806,enhancement
ATXN10,-0.04873408,0.95126593,suppression
ATXN1L,0.016298186,1.0162982,enhancement
ATXN2L,0.14808986,1.1480899,enhancement
