gene,diagonal_original,diagonal_stabilized,diagonal_shift,gershgorin_radius
ABHD14B,0.0,-0.5269236,-0.5269236,0.47692358
ABHD15,0.0,-0.92485815,-0.92485815,0.87485814
ABHD16A,0.0,-0.67596376,-0.67596376,0.62596375
ABHD17A,0.0,-0.49762815,-0.49762815,0.44762814
ABHD2,0.0,-0.51215476,-0.51215476,0.46215475
ABHD3,0.0,-0.5963643,-0.5963643,0.5463643
ABHD4,0.0,-0.8238439,-0.8238439,0.7738439
ABHD5,0.0,-0.48647386,-0.48647386,0.43647385
ABHD8,0.0,-0.3990412,-0.3990412,0.3490412
ABI2,0.0,-0.8004612,-0.8004612,0.75046116
ABL1,0.0,-0.66742355,-0.66742355,0.61742353
ABLIM1,0.0,-0.39768234,-0.39768234,0.34768233
ABLIM3,0.0,-0.32254592,-0.32254592,0.2725459
ABO,0.0,-0.39952886,-0.39952886,0.34952885
ACAA1,0.0,-0.5656852,-0.5656852,0.5156852
ACAA2,0.0,-0.4765553,-0.4765553,0.42655528
ACACA,0.0,-0.5437695,-0.5437695,0.4937695
ACAD10,0.0,-0.5786735,-0.5786735,0.52867347
ACAD11,0.0,-0.6853427,-0.6853427,0.6353427
ACAD8,0.0,-0.5390474,-0.5390474,0.4890474
ACADM,0.0,-0.35197446,-0.35197446,0.30197445
ACADSB,0.0,-0.5271001,-0.5271001,0.47710007
ACAN,0.0,-0.5904231,-0.5904231,0.5404231
ACAP2,0.0,-0.557779,-0.557779,0.507779
ACAP3,0.0,-0.55463576,-0.55463576,0.50463575
ACAT1,0.0,-0.5364018,-0.5364018,0.4864018
ACAT2,0.0,-0.5921022,-0.5921022,0.5421022
ACBD4,0.0,-0.3268182,-0.3268182,0.2768182
ACBD5,0.0,-0.4263792,-0.4263792,0.3763792
ACD,0.0,-0.93345904,-0.93345904,0.88345903
ACE,0.0,-0.41130775,-0.41130775,0.36130774
ACER2,0.0,-0.3773071,-0.3773071,0.32730708
ACIN1,0.0,-0.6528639,-0.6528639,0.6028639
ACLY,0.0,-0.5795955,-0.5795955,0.5295955
ACO2,0.0,-0.5829777,-0.5829777,0.5329777
ACOT12,0.0,-0.44495547,-0.44495547,0.39495546
ACOT6,0.0,-0.3866431,-0.3866431,0.3366431
ACOT7,0.0,-0.54488254,-0.54488254,0.49488252
ACOT8,0.0,-0.5463135,-0.5463135,0.4963135
ACOT9,0.0,-0.29029238,-0.29029238,0.24029237
ACOX1,0.0,-0.4712878,-0.4712878,0.42128778
ACOX3,0.0,-0.49028033,-0.49028033,0.44028032
ACOXL,0.0,-0.39888793,-0.39888793,0.34888792
ACP2,0.0,-0.5629071,-0.5629071,0.5129071
ACRBP,0.0,-0.538954,-0.538954,0.488954
ACSF2,0.0,-0.3588746,-0.3588746,0.30887458
ACSF3,0.0,-0.40189186,-0.40189186,0.35189185
ACSL6,0.0,-0.40621725,-0.40621725,0.35621724
ACSS1,0.0,-0.4231828,-0.4231828,0.37318277
ACSS2,0.0,-0.62710434,-0.62710434,0.57710433
ACSS3,0.0,-0.472995,-0.472995,0.422995
ACTA1,0.0,-0.49787372,-0.49787372,0.4478737
ACTA2,0.0,-0.9304046,-0.9304046,0.8804046
ACTB,0.0,-0.46261725,-0.46261725,0.41261724
ACTG1,0.0,-0.4338682,-0.4338682,0.3838682
ACTL6A,0.0,-0.74570704,-0.74570704,0.695707
ACTL7B,0.0,-0.52587616,-0.52587616,0.47587615
ACTN2,0.0,-0.44578993,-0.44578993,0.39578992
ACTN3,0.0,-0.34417987,-0.34417987,0.29417986
ACTR10,0.0,-0.6347329,-0.6347329,0.5847329
ACTR3B,0.0,-0.37232023,-0.37232023,0.32232022
ACTR5,0.0,-0.5626997,-0.5626997,0.51269966
ACTRT3,0.0,-0.48339176,-0.48339176,0.43339175
ACVR1,0.0,-0.43809748,-0.43809748,0.38809747
ACVR2B,0.0,-0.36229002,-0.36229002,0.31229
ACY3,0.0,-0.37981462,-0.37981462,0.3298146
ACYP1,0.0,-0.6101421,-0.6101421,0.5601421
ADAD1,0.0,-0.33965147,-0.33965147,0.28965145
ADAM15,0.0,-0.5128737,-0.5128737,0.4628737
ADAM17,0.0,-0.40680283,-0.40680283,0.35680282
ADAM22,0.0,-0.48204064,-0.48204064,0.43204063
ADAM23,0.0,-0.46373445,-0.46373445,0.41373444
ADAM33,0.0,-0.34539384,-0.34539384,0.29539382
ADAM8,0.0,-0.5860657,-0.5860657,0.5360657
ADAMTS1,0.0,-0.43180203,-0.43180203,0.38180202
ADAMTS10,0.0,-0.42819905,-0.42819905,0.37819904
ADAMTS12,0.0,-0.32935897,-0.32935897,0.27935895
ADAMTS14,0.0,-0.48177907,-0.48177907,0.43177906
ADAMTS15,0.0,-0.42799738,-0.42799738,0.37799737
ADAMTS16,0.0,-0.3410891,-0.3410891,0.2910891
ADAMTS17,0.0,-0.3242316,-0.3242316,0.27423158
ADAMTS18,0.0,-0.30200645,-0.30200645,0.25200644
ADAMTS19,0.0,-0.34924814,-0.34924814,0.29924813
ADAMTS20,0.0,-0.4199275,-0.4199275,0.3699275
ADAMTS3,0.0,-0.39437574,-0.39437574,0.34437573
ADAMTS5,0.0,-0.3494748,-0.3494748,0.29947478
ADAMTSL3,0.0,-0.35681346,-0.35681346,0.30681345
ADAMTSL5,0.0,-0.4972626,-0.4972626,0.4472626
ADAP1,0.0,-0.49901503,-0.49901503,0.44901502
ADARB1,0.0,-0.61931944,-0.61931944,0.5693194
ADAT1,0.0,-0.98337835,-0.98337835,0.93337834
ADAT2,0.0,-0.36335927,-0.36335927,0.31335926
ADAT3,0.0,-0.5976181,-0.5976181,0.5476181
ADCK1,0.0,-0.40925694,-0.40925694,0.35925692
ADCK2,0.0,-0.9336733,-0.9336733,0.8836733
ADCK5,0.0,-0.7414735,-0.7414735,0.6914735
ADCY1,0.0,-0.33308122,-0.33308122,0.2830812
ADCY10P1,0.0,-0.62934154,-0.62934154,0.57934153
ADCY2,0.0,-0.52058274,-0.52058274,0.47058275
ADCY3,0.0,-0.2596619,-0.2596619,0.20966192
ADCY5,0.0,-0.31490803,-0.31490803,0.26490802
ADCY6,0.0,-0.39362162,-0.39362162,0.3436216
ADCY9,0.0,-0.5142311,-0.5142311,0.46423107
ADCYAP1R1,0.0,-0.39716288,-0.39716288,0.34716287
ADD1,0.0,-0.48906708,-0.48906708,0.43906707
ADD2,0.0,-0.3593441,-0.3593441,0.30934408
ADGRA1,0.0,-0.4070388,-0.4070388,0.3570388
ADGRA2,0.0,-0.63621795,-0.63621795,0.58621794
ADGRA3,0.0,-0.37728798,-0.37728798,0.32728797
ADGRB2,0.0,-1.0748812,-1.0748812,1.0248812
ADGRG2,0.0,-0.376447,-0.376447,0.32644698
ADGRG6,0.0,-0.2774115,-0.2774115,0.22741148
ADGRL1,0.0,-0.5616537,-0.5616537,0.51165366
ADGRV1,0.0,-0.370641,-0.370641,0.32064098
ADIPOR1,0.0,-0.54939723,-0.54939723,0.49939722
ADIPOR2,0.0,-0.60716146,-0.60716146,0.55716145
ADIRF,0.0,-0.33974993,-0.33974993,0.28974992
ADM2,0.0,-0.35677043,-0.35677043,0.3067704
ADNP,0.0,-0.648984,-0.648984,0.598984
ADORA2A,0.0,-0.6900451,-0.6900451,0.6400451
ADORA2B,0.0,-0.34309265,-0.34309265,0.29309264
ADPGK,0.0,-0.88630444,-0.88630444,0.8363044
ADPRHL2,0.0,-0.7506729,-0.7506729,0.70067286
ADPRM,0.0,-0.7051745,-0.7051745,0.6551745
ADRA1A,0.0,-0.3703386,-0.3703386,0.32033858
ADRA1B,0.0,-0.31029487,-0.31029487,0.26029485
ADRA1D,0.0,-0.64549047,-0.64549047,0.59549046
ADRA2A,0.0,-0.44163463,-0.44163463,0.3916346
ADRA2B,0.0,-0.39855027,-0.39855027,0.34855026
ADRA2C,0.0,-0.4000929,-0.4000929,0.3500929
ADRB1,0.0,-0.4104805,-0.4104805,0.3604805
ADRM1,0.0,-0.59931064,-0.59931064,0.5493106
ADSL,0.0,-0.6522937,-0.6522937,0.60229367
AEN,0.0,-0.78244406,-0.78244406,0.73244405
AFAP1,0.0,-0.31453148,-0.31453148,0.26453146
AFAP1L2,0.0,-0.4299484,-0.4299484,0.37994838
AFF1,0.0,-0.5275393,-0.5275393,0.47753933
AFF3,0.0,-0.16958596,-0.16958596,0.11958596
AFF4,0.0,-0.63459116,-0.63459116,0.58459115
AFG3L1P,0.0,-0.7525625,-0.7525625,0.7025625
AFMID,0.0,-0.5013239,-0.5013239,0.4513239
AGAP11,0.0,-0.36047018,-0.36047018,0.31047016
AGAP3,0.0,-0.8238563,-0.8238563,0.7738563
AGBL2,0.0,-0.37325588,-0.37325588,0.32325587
AGBL4,0.0,-0.41348287,-0.41348287,0.36348286
AGFG1,0.0,-0.63365704,-0.63365704,0.583657
AGFG2,0.0,-0.40560824,-0.40560824,0.35560822
AGK,0.0,-0.8599737,-0.8599737,0.8099737
AGL,0.0,-0.4248025,-0.4248025,0.3748025
AGO1,0.0,-0.79371136,-0.79371136,0.74371135
AGO2,0.0,-0.55561596,-0.55561596,0.50561595
AGO3,0.0,-0.9487595,-0.9487595,0.8987595
AGO4,0.0,-0.4469342,-0.4469342,0.39693418
AGPAT1,0.0,-0.7810498,-0.7810498,0.7310498
AGPAT2,0.0,-0.52300775,-0.52300775,0.47300774
AGPAT3,0.0,-0.7507171,-0.7507171,0.7007171
AGPAT5,0.0,-0.54898745,-0.54898745,0.49898744
AGPS,0.0,-0.3541933,-0.3541933,0.3041933
AGRN,0.0,-0.50622225,-0.50622225,0.45622224
AGTPBP1,0.0,-0.42504147,-0.42504147,0.37504146
AGTR1,0.0,-0.27284786,-0.27284786,0.22284785
AHCTF1,0.0,-0.9195713,-0.9195713,0.86957127
AHCY,0.0,-0.598366,-0.598366,0.548366
AHCYL1,0.0,-0.42705756,-0.42705756,0.37705755
AHCYL2,0.0,-0.619325,-0.619325,0.569325
AHI1,0.0,-0.574992,-0.574992,0.524992
AHNAK,0.0,-0.3695625,-0.3695625,0.3195625
AHNAK2,0.0,-0.48413533,-0.48413533,0.43413532
AHR,0.0,-0.6238332,-0.6238332,0.57383317
AIDA,0.0,-0.55103725,-0.55103725,0.50103724
AIF1L,0.0,-0.4560554,-0.4560554,0.4060554
AIFM1,0.0,-0.89443827,-0.89443827,0.84443825
AIFM2,0.0,-0.61768216,-0.61768216,0.56768215
AIG1,0.0,-0.67342865,-0.67342865,0.62342864
AIMP2,0.0,-0.6043062,-0.6043062,0.5543062
AIP,0.0,-0.5370406,-0.5370406,0.48704058
AIPL1,0.0,-0.38677996,-0.38677996,0.33677995
AIRE,0.0,-0.667109,-0.667109,0.617109
AJAP1,0.0,-0.45037723,-0.45037723,0.4003772
AJUBA,0.0,-0.4562515,-0.4562515,0.4062515
AK3,0.0,-0.49992144,-0.49992144,0.44992143
AK4,0.0,-0.42887783,-0.42887783,0.37887782
AK5,0.0,-0.47214136,-0.47214136,0.42214134
AK7,0.0,-0.30921876,-0.30921876,0.25921875
AK8,0.0,-0.4122739,-0.4122739,0.3622739
AK9,0.0,-0.5925209,-0.5925209,0.5425209
AKAP10,0.0,-0.6429137,-0.6429137,0.5929137
AKAP3,0.0,-0.37039882,-0.37039882,0.3203988
AKAP5,0.0,-0.7422143,-0.7422143,0.6922143
AKAP8L,0.0,-0.3385313,-0.3385313,0.28853127
AKAP9,0.0,-0.40733826,-0.40733826,0.35733825
AKIP1,0.0,-0.4953099,-0.4953099,0.44530988
AKIRIN2,0.0,-0.5065155,-0.5065155,0.45651552
AKR1A1,0.0,-0.6048465,-0.6048465,0.55484647
AKR1E2,0.0,-0.28689665,-0.28689665,0.23689663
AKR7A2,0.0,-0.5938239,-0.5938239,0.5438239
AKR7A3,0.0,-0.46047828,-0.46047828,0.41047826
AKR7L,0.0,-0.53363717,-0.53363717,0.48363718
AKT1,0.0,-0.7901312,-0.7901312,0.7401312
AKT1S1,0.0,-0.51711154,-0.51711154,0.46711153
AKT2,0.0,-0.63383573,-0.63383573,0.5838357
ALAD,0.0,-0.64266616,-0.64266616,0.59266615
ALAS1,0.0,-0.55578476,-0.55578476,0.50578475
ALDH16A1,0.0,-0.5110866,-0.5110866,0.46108657
ALDH18A1,0.0,-0.8063132,-0.8063132,0.7563132
ALDH1L2,0.0,-0.47708088,-0.47708088,0.42708087
ALDH2,0.0,-0.4169802,-0.4169802,0.3669802
ALDH3A1,0.0,-0.53019285,-0.53019285,0.48019287
ALDH3A2,0.0,-0.5344126,-0.5344126,0.48441264
ALDH5A1,0.0,-0.42029095,-0.42029095,0.37029094
ALDOA,0.0,-0.5344023,-0.5344023,0.4844023
ALDOC,0.0,-0.21592097,-0.21592097,0.16592097
ALG11,0.0,-0.38769734,-0.38769734,0.33769733
ALG12,0.0,-0.39806935,-0.39806935,0.34806934
ALG13,0.0,-0.5698376,-0.5698376,0.5198376
ALG14,0.0,-0.54789335,-0.54789335,0.49789333
ALG2,0.0,-0.40982646,-0.40982646,0.35982645
ALG8,0.0,-0.92238784,-0.92238784,0.8723878
ALKBH1,0.0,-0.495782,-0.495782,0.44578198
ALKBH2,0.0,-0.7496397,-0.7496397,0.6996397
ALKBH3,0.0,-0.38577944,-0.38577944,0.33577943
ALKBH4,0.0,-0.5869901,-0.5869901,0.5369901
ALKBH5,0.0,-1.1083344,-1.1083344,1.0583345
ALKBH7,0.0,-0.7443474,-0.7443474,0.6943474
ALKBH8,0.0,-0.5078382,-0.5078382,0.45783818
ALLC,0.0,-0.4200617,-0.4200617,0.3700617
ALOX12P2,0.0,-0.6960695,-0.6960695,0.64606947
ALOXE3,0.0,-0.42489117,-0.42489117,0.37489116
ALPK3,0.0,-0.35007638,-0.35007638,0.30007637
ALPL,0.0,-0.3517891,-0.3517891,0.30178908
ALS2CL,0.0,-0.39407676,-0.39407676,0.34407675
ALX3,0.0,-0.3634633,-0.3634633,0.3134633
ALX4,0.0,-0.40006018,-0.40006018,0.35006016
ALYREF,0.0,-0.5725343,-0.5725343,0.5225343
AMACR,0.0,-0.41378444,-0.41378444,0.36378443
AMBRA1,0.0,-0.3545359,-0.3545359,0.3045359
AMD1,0.0,-0.40345335,-0.40345335,0.35345334
AMDHD1,0.0,-0.3778392,-0.3778392,0.3278392
AMER3,0.0,-0.37380663,-0.37380663,0.3238066
AMFR,0.0,-0.54937017,-0.54937017,0.4993702
AMIGO1,0.0,-0.3107424,-0.3107424,0.2607424
AMIGO2,0.0,-0.344833,-0.344833,0.29483297
AMIGO3,0.0,-0.45118874,-0.45118874,0.40118873
AMMECR1,0.0,-0.46215767,-0.46215767,0.41215765
AMMECR1L,0.0,-0.5555011,-0.5555011,0.5055011
AMOT,0.0,-0.48855174,-0.48855174,0.43855172
AMOTL1,0.0,-0.39073008,-0.39073008,0.34073007
AMOTL2,0.0,-0.34806252,-0.34806252,0.2980625
AMPD2,0.0,-0.34442988,-0.34442988,0.29442987
AMZ1,0.0,-0.4131735,-0.4131735,0.36317348
AMZ2,0.0,-0.5194266,-0.5194266,0.46942657
AMZ2P1,0.0,-0.43486387,-0.43486387,0.38486385
ANAPC1,0.0,-0.5091461,-0.5091461,0.4591461
ANAPC10,0.0,-0.44510534,-0.44510534,0.39510533
ANAPC11,0.0,-0.7459851,-0.7459851,0.6959851
ANAPC13,0.0,-0.45823544,-0.45823544,0.40823543
ANAPC15,0.0,-0.62384456,-0.62384456,0.57384455
ANAPC2,0.0,-0.50849074,-0.50849074,0.45849073
ANAPC4,0.0,-0.6759199,-0.6759199,0.6259199
ANAPC5,0.0,-1.0576063,-1.0576063,1.0076064
ANG,0.0,-0.64237934,-0.64237934,0.59237933
ANGEL2,0.0,-0.6555478,-0.6555478,0.6055478
ANGPTL4,0.0,-0.5979541,-0.5979541,0.5479541
ANHX,0.0,-0.39470708,-0.39470708,0.34470707
ANKFY1,0.0,-0.46717256,-0.46717256,0.41717255
ANKH,0.0,-0.3640704,-0.3640704,0.31407037
ANKHD1,0.0,-0.6363248,-0.6363248,0.5863248
ANKHD1-EIF4EBP3,0.0,-0.50484747,-0.50484747,0.45484746
ANKLE2,0.0,-0.34298223,-0.34298223,0.29298222
ANKMY1,0.0,-0.42791724,-0.42791724,0.37791723
ANKMY2,0.0,-0.57486224,-0.57486224,0.52486223
ANKRA2,0.0,-0.46623397,-0.46623397,0.41623396
ANKRD10,0.0,-0.8108122,-0.8108122,0.76081216
ANKRD11,0.0,-0.68136615,-0.68136615,0.63136613
ANKRD12,0.0,-0.66620284,-0.66620284,0.61620283
ANKRD13A,0.0,-0.7094237,-0.7094237,0.6594237
ANKRD13B,0.0,-0.7996945,-0.7996945,0.74969447
ANKRD13C,0.0,-0.44141346,-0.44141346,0.39141345
ANKRD13D,0.0,-0.39164263,-0.39164263,0.34164262
ANKRD16,0.0,-0.4919992,-0.4919992,0.4419992
ANKRD18DP,0.0,-0.35540152,-0.35540152,0.3054015
ANKRD19P,0.0,-0.41274154,-0.41274154,0.36274153
ANKRD2,0.0,-0.40294924,-0.40294924,0.35294923
ANKRD24,0.0,-0.3722905,-0.3722905,0.32229048
ANKRD26P1,0.0,-0.36322266,-0.36322266,0.31322265
ANKRD30A,0.0,-0.38085303,-0.38085303,0.33085302
ANKRD30B,0.0,-0.3296846,-0.3296846,0.27968457
ANKRD30BL,0.0,-0.35920054,-0.35920054,0.30920053
ANKRD31,0.0,-0.3954929,-0.3954929,0.3454929
ANKRD33,0.0,-0.46140975,-0.46140975,0.41140974
ANKRD34C,0.0,-0.36369535,-0.36369535,0.31369534
ANKRD35,0.0,-0.53433317,-0.53433317,0.48433316
ANKRD36BP2,0.0,-0.43033922,-0.43033922,0.3803392
ANKRD37,0.0,-0.66965324,-0.66965324,0.6196532
ANKRD39,0.0,-0.46881914,-0.46881914,0.41881913
ANKRD42,0.0,-0.34771878,-0.34771878,0.29771876
ANKRD44,0.0,-0.7754996,-0.7754996,0.7254996
ANKRD46,0.0,-0.8977092,-0.8977092,0.8477092
ANKRD54,0.0,-0.813886,-0.813886,0.763886
ANKRD6,0.0,-0.5634457,-0.5634457,0.5134457
ANKS1B,0.0,-0.42011595,-0.42011595,0.37011594
ANKS6,0.0,-0.33117282,-0.33117282,0.2811728
ANKZF1,0.0,-0.6370653,-0.6370653,0.5870653
ANLN,0.0,-0.5291906,-0.5291906,0.4791906
ANO10,0.0,-0.6391697,-0.6391697,0.5891697
ANO5,0.0,-0.3358056,-0.3358056,0.28580558
ANO8,0.0,-0.46932968,-0.46932968,0.41932967
ANO9,0.0,-0.458282,-0.458282,0.40828198
ANP32B,0.0,-0.53938717,-0.53938717,0.48938715
ANP32E,0.0,-0.3554519,-0.3554519,0.3054519
ANPEP,0.0,-0.25447053,-0.25447053,0.20447052
ANTXR1,0.0,-0.49023953,-0.49023953,0.44023952
ANXA11,0.0,-0.53358394,-0.53358394,0.48358393
ANXA2,0.0,-0.41553986,-0.41553986,0.36553985
ANXA2R,0.0,-0.28114688,-0.28114688,0.23114687
ANXA5,0.0,-0.48802158,-0.48802158,0.43802157
ANXA6,0.0,-0.6085825,-0.6085825,0.5585825
ANXA7,0.0,-0.9290879,-0.9290879,0.87908787
AOX1,0.0,-0.47458863,-0.47458863,0.42458862
AP1G2,0.0,-0.6928732,-0.6928732,0.64287317
AP1M2,0.0,-0.4509111,-0.4509111,0.4009111
AP1S1,0.0,-0.53066623,-0.53066623,0.48066622
AP2A2,0.0,-0.5079011,-0.5079011,0.4579011
AP2B1,0.0,-0.3871256,-0.3871256,0.3371256
AP2S1,0.0,-0.39283037,-0.39283037,0.34283036
AP3B1,0.0,-0.6053595,-0.6053595,0.5553595
AP3M1,0.0,-0.44569248,-0.44569248,0.39569247
AP3M2,0.0,-0.5629751,-0.5629751,0.5129751
AP3S1,0.0,-0.33872366,-0.33872366,0.28872365
AP4E1,0.0,-0.6587471,-0.6587471,0.60874707
AP4M1,0.0,-0.7041966,-0.7041966,0.65419656
AP4S1,0.0,-0.4427342,-0.4427342,0.3927342
AP5B1,0.0,-0.38682547,-0.38682547,0.33682546
AP5S1,0.0,-0.63006276,-0.63006276,0.58006275
AP5Z1,0.0,-0.50509715,-0.50509715,0.45509717
APAF1,0.0,-0.7454787,-0.7454787,0.6954787
APBA1,0.0,-0.3609512,-0.3609512,0.31095117
APBB1,0.0,-0.4029023,-0.4029023,0.3529023
APBB2,0.0,-0.39876306,-0.39876306,0.34876305
APC,0.0,-0.34652203,-0.34652203,0.29652202
APCDD1,0.0,-0.32241067,-0.32241067,0.27241066
APEH,0.0,-1.0393313,-1.0393313,0.98933136
APEX1,0.0,-0.6139571,-0.6139571,0.5639571
APH1B,0.0,-0.33890662,-0.33890662,0.2889066
APIP,0.0,-0.7387025,-0.7387025,0.68870246
APLF,0.0,-0.37562418,-0.37562418,0.32562417
APLN,0.0,-0.7287727,-0.7287727,0.6787727
APLP2,0.0,-0.53043425,-0.53043425,0.48043427
APMAP,0.0,-0.783592,-0.783592,0.733592
APOA1,0.0,-0.42705333,-0.42705333,0.37705332
APOB,0.0,-0.28525874,-0.28525874,0.23525874
APOBEC3D,0.0,-0.3579918,-0.3579918,0.3079918
APOBEC3F,0.0,-0.43954903,-0.43954903,0.38954902
APOBEC3G,0.0,-0.3768488,-0.3768488,0.32684878
APOBR,0.0,-0.33777207,-0.33777207,0.28777206
APOL2,0.0,-0.5431333,-0.5431333,0.49313334
APOLD1,0.0,-0.63798296,-0.63798296,0.58798295
APOM,0.0,-0.5282212,-0.5282212,0.47822118
APOOL,0.0,-0.6287649,-0.6287649,0.5787649
APP,0.0,-0.49600196,-0.49600196,0.44600195
APPBP2,0.0,-0.99095714,-0.99095714,0.9409571
APRT,0.0,-0.9063004,-0.9063004,0.8563004
AQP1,0.0,-0.52162397,-0.52162397,0.47162396
AQP11,0.0,-0.6665074,-0.6665074,0.6165074
AQP2,0.0,-0.4114074,-0.4114074,0.3614074
AQP3,0.0,-0.37196928,-0.37196928,0.32196927
AQP5,0.0,-0.4169063,-0.4169063,0.3669063
AQR,0.0,-0.88763314,-0.88763314,0.83763313
AR,0.0,-0.44261527,-0.44261527,0.39261526
ARAF,0.0,-0.620874,-0.620874,0.570874
ARAP1,0.0,-0.7577011,-0.7577011,0.7077011
ARAP2,0.0,-0.43690014,-0.43690014,0.38690013
ARC,0.0,-0.37813345,-0.37813345,0.32813343
ARCN1,0.0,-0.4791086,-0.4791086,0.4291086
ARF4,0.0,-0.6135564,-0.6135564,0.5635564
ARF5,0.0,-0.6774082,-0.6774082,0.6274082
ARFGAP1,0.0,-0.460944,-0.460944,0.41094398
ARFGAP2,0.0,-0.87852836,-0.87852836,0.82852834
ARFGAP3,0.0,-0.55309933,-0.55309933,0.5030993
ARFGEF1,0.0,-0.8563977,-0.8563977,0.8063977
ARFIP1,0.0,-0.4964496,-0.4964496,0.44644958
ARFRP1,0.0,-0.74235314,-0.74235314,0.6923531
ARGFXP2,0.0,-0.33099473,-0.33099473,0.2809947
ARGLU1,0.0,-0.867963,-0.867963,0.817963
ARHGAP10,0.0,-0.32037807,-0.32037807,0.27037805
ARHGAP11B,0.0,-0.6476729,-0.6476729,0.5976729
ARHGAP20,0.0,-0.32441983,-0.32441983,0.2744198
ARHGAP21,0.0,-0.5887643,-0.5887643,0.5387643
ARHGAP22,0.0,-0.37908518,-0.37908518,0.32908517
ARHGAP23,0.0,-0.6102877,-0.6102877,0.5602877
ARHGAP26,0.0,-0.34003425,-0.34003425,0.29003423
ARHGAP33,0.0,-0.53833246,-0.53833246,0.48833245
ARHGAP4,0.0,-0.26355496,-0.26355496,0.21355495
ARHGAP42,0.0,-0.36870044,-0.36870044,0.31870043
ARHGAP5,0.0,-0.42877972,-0.42877972,0.3787797
ARHGAP6,0.0,-0.3104225,-0.3104225,0.2604225
ARHGAP8,0.0,-0.36217302,-0.36217302,0.312173
ARHGEF1,0.0,-0.51296425,-0.51296425,0.46296424
ARHGEF10,0.0,-0.4083654,-0.4083654,0.3583654
ARHGEF10L,0.0,-0.3605334,-0.3605334,0.31053337
ARHGEF11,0.0,-0.47405785,-0.47405785,0.42405784
ARHGEF12,0.0,-0.4700904,-0.4700904,0.42009038
ARHGEF16,0.0,-0.5011366,-0.5011366,0.45113662
ARHGEF17,0.0,-0.52936673,-0.52936673,0.47936675
ARHGEF2,0.0,-0.44615474,-0.44615474,0.39615473
ARHGEF25,0.0,-0.34461173,-0.34461173,0.29461172
ARHGEF28,0.0,-0.31198037,-0.31198037,0.26198035
ARHGEF3,0.0,-0.47757953,-0.47757953,0.42757952
ARHGEF40,0.0,-0.53988516,-0.53988516,0.48988515
ARHGEF7,0.0,-0.80354923,-0.80354923,0.7535492
ARID1A,0.0,-0.70669556,-0.70669556,0.65669554
ARID1B,0.0,-0.3902825,-0.3902825,0.3402825
ARID2,0.0,-0.440457,-0.440457,0.39045697
ARID3A,0.0,-0.48372987,-0.48372987,0.43372986
ARID3B,0.0,-0.7225113,-0.7225113,0.6725113
ARID4A,0.0,-0.8293223,-0.8293223,0.77932227
ARID4B,0.0,-0.5810349,-0.5810349,0.5310349
ARID5A,0.0,-0.31854904,-0.31854904,0.26854903
ARIH1,0.0,-0.6348044,-0.6348044,0.5848044
ARIH2,0.0,-0.7008888,-0.7008888,0.6508888
ARL1,0.0,-0.72231084,-0.72231084,0.6723108
ARL10,0.0,-0.34483066,-0.34483066,0.29483065
ARL14EP,0.0,-0.6157836,-0.6157836,0.56578356
